Brands,Models,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),price(in lakhs)
Jeep,Compass 2.0 Sport,2018,Third Party insurance,Diesel,5,67000,First Owner,Manual,2018,17.1,1956.0,1956.0,10.9
Ford,Ecosport 1.5 Petrol Titanium BSIV,2018,Comprehensive,Petrol,5,76685,First Owner,Manual,2018,17.0,1497.0,1497.0,6.95
Nissan,Kicks XV Premium D BSIV,2020,Comprehensive,Diesel,5,101954,First Owner,Manual,2019,20.45,1461.0,1461.0,6.68
Hyundai,Grand i10 Asta Option AT,2016,Comprehensive,Petrol,5,68897,First Owner,Automatic,2016,18.9,1197.0,1197.0,5.0
BMW,6 Series GT 630i M Sport,2021,Third Party insurance,Petrol,4,26000,First Owner,Automatic,2021,13.32,1998.0,1998.0,65.0
Maruti,SX4 S Cross DDiS 200 Zeta,2017,Comprehensive,Diesel,5,105568,Second Owner,Manual,2017,23.65,1248.0,1248.0,4.63
Ford,Endeavour 2.2 Trend AT 4X2,2018,Third Party insurance,Diesel,7,54000,First Owner,Automatic,2018,12.62,2198.0,2198.0,24.0
Hyundai,Venue SX Plus Turbo DCT,2019,Comprehensive,Petrol,5,61383,First Owner,Automatic,2019,18.15,998.0,998.0,9.63
Mercedes-Benz,C-Class C 220 CDI Avantgarde,2015,Comprehensive,Diesel,5,75000,Second Owner,Automatic,2015,19.27,2143.0,2143.0,18.5
Honda,Amaze VX AT i-Vtech,2013,Comprehensive,Petrol,5,77130,Second Owner,Automatic,2013,15.5,1198.0,1198.0,4.0
Volvo,XC40 D4 R-Design,2018,Zero Dep,Diesel,5,56426,First Owner,Automatic,2018,18.0,1969.0,1969.0,29.9
Audi,Q7 45 TDI Quattro Premium Plus,2016,Third Party insurance,Diesel,7,75000,Second Owner,Automatic,2016,14.75,2967.0,2967.0,39.9
Maruti,Ciaz 1.4 Delta,2017,Comprehensive,Petrol,5,69018,First Owner,Manual,2017,20.73,1373.0,1373.0,5.75
Hyundai,Creta 1.6 CRDi SX Option,2018,Comprehensive,Diesel,5,57000,First Owner,Manual,2018,19.67,1582.0,1582.0,10.75
Hyundai,Venue SX Plus Turbo DCT,2019,Comprehensive,Petrol,5,65710,Second Owner,Automatic,2019,18.15,998.0,998.0,8.66
Maruti,Vitara Brezza ZDi,2019,Comprehensive,Diesel,5,51763,First Owner,Manual,2019,24.3,1248.0,1248.0,8.0
Maruti,SX4 S Cross Alpha,2022,Comprehensive,Petrol,5,19133,First Owner,Manual,2021,18.55,1462.0,1462.0,9.74
Hyundai,Tucson 2.0 Dual VTVT 2WD AT GLS,2018,Third Party insurance,Petrol,5,22000,First Owner,Automatic,2018,12.95,1999.0,1999.0,19.25
Toyota,Fortuner 4x4 AT,2016,Third Party insurance,Diesel,7,145000,First Owner,Automatic,2016,12.55,2982.0,2982.0,18.0
Maruti,Ciaz ZXi,2016,Comprehensive,Petrol,5,42733,First Owner,Manual,2015,20.73,1373.0,1373.0,6.82
Audi,A4 30 TFSI Technology,2017,Third Party insurance,Petrol,5,30300,Second Owner,Automatic,2017,17.84,1395.0,1395.0,24.8
Renault,Duster 85PS Diesel RxS,2019,Comprehensive,Diesel,5,59215,Second Owner,Manual,2019,19.87,1461.0,1461.0,7.8
Mercedes-Benz,S-Class S 450,2018,Third Party insurance,Petrol,5,22000,First Owner,Automatic,2018,7.81,2996.0,2996.0,93.0
Hyundai,Creta 1.6 SX Automatic,2019,Comprehensive,Petrol,5,91724,First Owner,Automatic,2019,14.8,1591.0,1591.0,10.76
Toyota,Fortuner 2.8 2WD AT BSIV,2017,Comprehensive,Diesel,7,52000,Second Owner,Automatic,2017,12.9,2755.0,2755.0,25.5
Mercedes-Benz,GLC Coupe 300d 4MATIC BSVI,2020,Comprehensive,Diesel,5,38000,First Owner,Automatic,2020,16.34,1950.0,1950.0,69.5
Maruti,Ciaz 1.3 Alpha,2018,Comprehensive,Diesel,5,67633,First Owner,Manual,2017,28.09,1248.0,1248.0,6.61
BMW,6 Series GT 630d Luxury Line,2019,Comprehensive,Diesel,4,45000,Second Owner,Automatic,2019,17.09,2993.0,2993.0,43.0
Honda,Amaze S i-Vtech,2015,Comprehensive,Petrol,5,61000,First Owner,Manual,2015,18.0,1198.0,1198.0,4.6
Mercedes-Benz,C-Class C 220 CDI Avantgarde,2017,Comprehensive,Diesel,5,30000,First Owner,Automatic,2017,19.27,2143.0,2143.0,27.5
Ford,Ecosport 1.5 Ti VCT AT Titanium BSIV,2017,Comprehensive,Petrol,5,103030,First Owner,Automatic,2017,15.63,1499.0,1499.0,6.82
Maruti,XL6 Alpha,2019,Third Party insurance,Petrol,6,19123,First Owner,Manual,2019,19.01,1462.0,1462.0,10.25
Mahindra,XUV500 W9 BSIV,2019,Comprehensive,Diesel,7,70767,First Owner,Manual,2019,15.1,2179.0,2179.0,11.6
Mercedes-Benz,E-Class Expression E 200 BSIV,2019,Zero Dep,Petrol,5,25000,First Owner,Automatic,2019,15.0,1991.0,1991.0,49.75
Hyundai,Creta 1.6 VTVT E Plus,2017,Third Party insurance,Petrol,5,58525,First Owner,Manual,2017,15.29,1591.0,1591.0,8.5
Maruti,Baleno 1.2 Alpha,2017,Comprehensive,Petrol,5,77353,First Owner,Manual,2016,21.4,1197.0,1197.0,5.2
Maruti,Baleno 1.2 Zeta,2018,Comprehensive,Petrol,5,59200,First Owner,Manual,2018,21.4,1197.0,1197.0,6.25
Maruti,SX4 S Cross Zeta DDiS 200 SH,2018,Comprehensive,Diesel,5,99230,First Owner,Manual,2018,25.1,1248.0,1248.0,6.55
Hyundai,i20 1.2 Magna Executive,2017,Comprehensive,Petrol,5,80000,First Owner,Manual,2017,18.6,1197.0,1197.0,5.25
Maruti,Ciaz 1.4 Delta,2018,Comprehensive,Petrol,5,50840,First Owner,Manual,2018,20.73,1373.0,1373.0,6.72
Mercedes-Benz,C-Class C 200,2023,Comprehensive,Petrol,5,1000,First Owner,Automatic,2023,16.9,1496.0,1496.0,59.75
Honda,City V AT,2012,Third Party insurance,Petrol,5,150000,First Owner,Automatic,2012,15.6,1497.0,1497.0,4.5
Maruti,Baleno 1.2 Zeta,2017,Comprehensive,Petrol,5,111142,First Owner,Manual,2017,21.4,1197.0,1197.0,5.01
Mercedes-Benz,C-Class 200 K AT,2014,Comprehensive,Petrol,5,133477,First Owner,Automatic,2014,11.7,1796.0,1796.0,8.5
Maruti,SX4 S Cross Zeta DDiS 200 SH,2018,Comprehensive,Diesel,5,120802,First Owner,Manual,2018,25.1,1248.0,1248.0,5.97
Tata,Safari XZA Plus (O) Adventure Edition AT BSVI,2021,Comprehensive,Diesel,7,41000,Second Owner,Automatic,2021,14.08,1956.0,1956.0,20.0
Toyota,Camry Hybrid,2015,Third Party insurance,Petrol,5,50000,Second Owner,Automatic,2015,19.16,2494.0,2494.0,12.5
Mercedes-Benz,S-Class S 350 d,2023,Comprehensive,Diesel,5,7900,First Owner,Automatic,2021,13.5,2925.0,2925.0,1.5
Maruti,Ciaz Alpha AT BSVI,2019,Comprehensive,Petrol,5,42334,First Owner,Automatic,2019,20.04,1462.0,1462.0,8.29
Honda,City V AT,2012,Third Party insurance,Petrol,5,150000,First Owner,Automatic,2012,15.6,1497.0,1497.0,4.25
Maruti,Swift Dzire VXI,2015,Comprehensive,Petrol,5,98275,First Owner,Manual,2015,20.85,1197.0,1197.0,3.97
Land,Rover Range Rover 3.0 Diesel LWB Vogue,2019,Third Party insurance,Diesel,5,57500,Second Owner,Automatic,2019,13.33,2995.0,2995.0,1.8
Honda,WR-V i-VTEC VX,2018,Third Party insurance,Petrol,5,65000,First Owner,Manual,2018,17.5,1199.0,1199.0,6.85
Hyundai,Verna VTVT 1.6 SX,2018,Comprehensive,Petrol,5,52235,Second Owner,Manual,2018,17.0,1591.0,1591.0,7.45
Honda,City i VTEC V,2015,Comprehensive,Petrol,5,50158,First Owner,Manual,2015,17.4,1497.0,1497.0,6.95
Mercedes-Benz,E-Class Exclusive E 220d,2020,Comprehensive,Diesel,5,34000,Second Owner,Automatic,2020,16.1,1950.0,1950.0,44.9
Nissan,Sunny XV CVT,2017,Comprehensive,Petrol,5,69820,First Owner,Automatic,2017,17.5,1498.0,1498.0,5.44
Toyota,Innova Crysta 2.8 ZX AT BSIV,2019,Comprehensive,Diesel,7,71000,First Owner,Automatic,2019,11.36,2755.0,2755.0,20.5
Maruti,Ignis 1.2 AMT Alpha BSIV,2018,Comprehensive,Petrol,5,82415,First Owner,Automatic,2018,20.89,1197.0,1197.0,5.34
Mercedes-Benz,GLS 350d 4MATIC,2017,Third Party insurance,Diesel,7,70000,Second Owner,Automatic,2017,11.0,2987.0,2987.0,51.5
Renault,Duster 110PS Diesel RxZ AMT,2018,Comprehensive,Diesel,5,71070,First Owner,Automatic,2018,19.6,1461.0,1461.0,7.22
Mercedes-Benz,B Class B180 Sport,2016,Third Party insurance,Petrol,5,83000,First Owner,Automatic,2016,14.8,1595.0,1595.0,12.65
Hyundai,Venue SX Turbo,2020,Comprehensive,Petrol,5,107834,First Owner,Manual,2020,18.27,998.0,998.0,7.99
Maruti,Baleno Alpha,2018,Comprehensive,Petrol,5,55000,First Owner,Manual,2018,21.01,1197.0,1197.0,6.75
Mercedes-Benz,GLE 400 4MATIC,2017,Comprehensive,Petrol,5,55000,First Owner,Automatic,2017,9.7,2996.0,2996.0,45.45
Volvo,XC60 D5 Inscription,2020,Comprehensive,Diesel,5,25000,Second Owner,Automatic,2020,11.2,2400.0,2400.0,52.0
Honda,City V MT,2015,Comprehensive,Petrol,5,65000,First Owner,Manual,2015,16.8,1497.0,1497.0,6.25
Hyundai,Grand i10 Sportz,2014,Comprehensive,Petrol,5,86916,Second Owner,Manual,2014,18.9,1197.0,1197.0,3.68
Tata,Nexon 1.2 Revotron XZA Plus DualTone,2019,Comprehensive,Petrol,5,108662,First Owner,Automatic,2019,17.0,1198.0,1198.0,7.12
Honda,City V AT,2012,Third Party insurance,Petrol,5,130000,First Owner,Automatic,2012,15.6,1497.0,1497.0,4.5
BMW,M2 Competition,2019,Comprehensive,Petrol,4,29000,First Owner,Automatic,2019,10.63,2979.0,2979.0,71.0
Hyundai,Grand i10 1.2 Kappa Asta,2018,Comprehensive,Petrol,5,63307,First Owner,Manual,2018,18.9,1197.0,1197.0,5.44
Hyundai,Tucson 2.0 e-VGT 4WD AT GLS,2018,Comprehensive,Diesel,5,84000,First Owner,Automatic,2018,16.38,1995.0,1995.0,15.9
Maruti,Baleno 1.2 Alpha,2016,Comprehensive,Petrol,5,101927,First Owner,Manual,2016,21.4,1197.0,1197.0,5.14
Mini,3 DOOR John Cooper Works 2019-2020,2017,Comprehensive,Petrol,4,31900,Second Owner,Automatic,2017,16.47,1998.0,1998.0,31.0
Mercedes-Benz,E-Class E 200 CGI,2015,Comprehensive,Petrol,5,76000,First Owner,Automatic,2015,12.0,1991.0,1991.0,23.9
Maruti,Ciaz Alpha AT BSVI,2019,Comprehensive,Petrol,5,40775,Second Owner,Automatic,2019,20.04,1462.0,1462.0,8.14
Mercedes-Benz,S-Class S 350 d,2020,Third Party insurance,Diesel,5,18346,First Owner,Automatic,2020,13.5,2925.0,2925.0,97.0
Maruti,SX4 S Cross Alpha DDiS 200 SH,2019,Comprehensive,Diesel,5,59710,First Owner,Manual,2018,25.1,1248.0,1248.0,7.8
Audi,Q7 Technology 2022-2022,2022,Comprehensive,Petrol,7,8000,First Owner,Automatic,2022,11.21,2995.0,2995.0,87.0
Honda,WR-V i-VTEC VX,2019,Comprehensive,Petrol,5,67606,First Owner,Manual,2019,17.5,1199.0,1199.0,6.82
Audi,Q3 35 TDI Quattro Premium Plus,2016,Third Party insurance,Diesel,5,72135,Second Owner,Automatic,2016,15.73,1968.0,1968.0,15.75
Hyundai,i20 Asta 1.2,2015,Comprehensive,Petrol,5,96658,First Owner,Manual,2015,18.6,1197.0,1197.0,5.1
Audi,A4 30 TFSI Premium Plus,2017,Zero Dep,Petrol,5,29000,First Owner,Automatic,2017,17.84,1395.0,1395.0,27.25
Audi,Q7 45 TDI Quattro Technology,2017,Comprehensive,Diesel,7,76000,Second Owner,Automatic,2017,14.75,2967.0,2967.0,45.0
Maruti,Ciaz 1.4 AT Alpha,2017,Comprehensive,Petrol,5,26750,First Owner,Automatic,2017,19.12,1373.0,1373.0,8.62
Jaguar,XF 2.0 Diesel Portfolio,2018,Comprehensive,Diesel,5,14000,First Owner,Automatic,2018,19.33,1999.0,1999.0,35.5
Nissan,Micra Active XV S,2018,Comprehensive,Petrol,5,43293,First Owner,Manual,2018,19.49,1198.0,1198.0,4.12
Honda,City 1.5 V MT Exclusive,2017,Comprehensive,Petrol,5,102786,First Owner,Manual,2017,17.0,1497.0,1497.0,5.95
Nissan,Micra Active XV S,2015,Comprehensive,Petrol,5,98751,First Owner,Manual,2015,19.49,1198.0,1198.0,2.98
Jeep,Grand Cherokee Summit 4X4,2017,Comprehensive,Diesel,5,53000,First Owner,Automatic,2017,12.8,2998.0,2998.0,34.9
BMW,3 Series 320d,2017,Zero Dep,Diesel,5,54776,Second Owner,Automatic,2017,22.69,1995.0,1995.0,18.9
Maruti,Ciaz 1.3 Alpha,2018,Comprehensive,Diesel,5,59870,First Owner,Manual,2018,28.09,1248.0,1248.0,7.27
Hyundai,Grand i10 1.2 Kappa Magna BSIV,2013,Comprehensive,Petrol,5,50000,Second Owner,Manual,2013,18.9,1197.0,1197.0,3.95
Mercedes-Benz,G G 350d,2021,Comprehensive,Diesel,5,38000,First Owner,Automatic,2021,8.13,2925.0,2925.0,2.45
Honda,City V MT,2015,Third Party insurance,Petrol,5,94000,First Owner,Manual,2015,16.8,1497.0,1497.0,6.25
Land,Rover Discovery Sport TD4 SE,2018,Zero Dep,Diesel,7,37800,First Owner,Automatic,2018,12.83,1999.0,1999.0,37.9
Audi,Q7 45 TDI Quattro Premium Plus,2019,Third Party insurance,Diesel,7,25000,First Owner,Automatic,2019,14.75,2967.0,2967.0,65.5
Tata,Harrier XZ BSVI,2019,Comprehensive,Diesel,5,29294,First Owner,Manual,2019,16.35,1956.0,1956.0,13.65
Kia,Seltos HTX IVT G,2023,Comprehensive,Petrol,5,6800,First Owner,Automatic,2023,16.8,1497.0,1497.0,16.95
Ford,Figo Titanium BSIV,2021,Comprehensive,Petrol,5,16847,First Owner,Manual,2020,20.4,1194.0,1194.0,5.94
Mercedes-Benz,CLA Urban Sport 200d,2017,Comprehensive,Diesel,5,70000,Third Owner,Automatic,2017,17.9,2143.0,2143.0,17.5
Audi,Q5 Technology BSVI,2022,Third Party insurance,Petrol,5,25500,First Owner,Automatic,2022,13.47,1984.0,1984.0,55.8
Renault,Duster 110PS Diesel RxZ AMT,2018,Comprehensive,Diesel,5,65865,First Owner,Automatic,2018,19.6,1461.0,1461.0,7.99
Audi,A6 45 TFSI Technology BSVI,2021,Comprehensive,Petrol,5,1000,First Owner,Automatic,2021,14.11,1984.0,1984.0,55.9
Volvo,XC60 D4 Momentum,2018,Comprehensive,Diesel,5,60000,Second Owner,Automatic,2018,14.7,1984.0,1984.0,38.0
Tata,Nexon XZ Plus Diesel S,2021,Comprehensive,Diesel,5,54000,First Owner,Manual,2020,21.19,1497.0,1497.0,9.99
BMW,3 Series M340i xDrive,2022,Comprehensive,Petrol,5,5500,First Owner,Automatic,2022,13.02,2998.0,2998.0,72.0
Honda,Jazz ZX CVT,2021,Comprehensive,Petrol,5,20866,Second Owner,Automatic,2021,17.1,1199.0,1199.0,8.14
Maruti,Baleno Alpha AMT BSVI,2023,Comprehensive,Petrol,5,5000,First Owner,Automatic,2023,22.94,1197.0,1197.0,9.85
Maruti,Swift LXI,2010,Comprehensive,Petrol,5,130363,First Owner,Manual,2010,18.6,1197.0,1197.0,1.3
Mahindra,Marazzo M8,2018,Comprehensive,Diesel,7,73937,First Owner,Manual,2018,17.3,1497.0,1497.0,8.99
Nissan,Micra Active XV S,2018,Comprehensive,Petrol,5,42014,First Owner,Manual,2018,19.49,1198.0,1198.0,4.25
MG,Hector Sharp DCT,2021,Comprehensive,Petrol,5,34000,First Owner,Automatic,2021,13.96,1451.0,1451.0,16.4
Maruti,Vitara Brezza ZDi Plus AMT,2018,Third Party insurance,Diesel,5,73000,First Owner,Automatic,2018,24.3,1248.0,1248.0,7.0
Maruti,SX4 S Cross Zeta DDiS 200 SH,2019,Comprehensive,Diesel,5,59841,First Owner,Manual,2019,25.1,1248.0,1248.0,8.74
Kia,Seltos HTX IVT G,2021,Zero Dep,Petrol,5,37000,First Owner,Automatic,2021,16.8,1497.0,1497.0,15.25
Toyota,Etios Liva G,2012,Comprehensive,Petrol,5,81949,First Owner,Manual,2012,17.71,1197.0,1197.0,2.92
Honda,City ZX CVT,2021,Comprehensive,Petrol,5,34769,First Owner,Automatic,2020,18.3,1498.0,1498.0,13.08
Mercedes-Benz,C-Class Progressive C 220d,2019,Third Party insurance,Diesel,5,55000,First Owner,Automatic,2019,12.6,1950.0,1950.0,34.75
Hyundai,i20 Asta Option 1.2,2017,Comprehensive,Petrol,5,84310,First Owner,Manual,2016,18.6,1197.0,1197.0,5.64
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,2018,Comprehensive,Petrol,5,23000,First Owner,Manual,2018,18.9,1197.0,1197.0,5.15
Nissan,Micra Active XV S,2016,Comprehensive,Petrol,5,79362,First Owner,Manual,2016,19.49,1198.0,1198.0,3.42
BMW,X4 M Sport X xDrive20d,2019,Comprehensive,Diesel,5,18000,Second Owner,Automatic,2019,16.55,1995.0,1995.0,49.5
Maruti,Ertiga CNG VXI,2018,Comprehensive,CNG,7,70000,First Owner,Manual,2018,26.08,1462.0,1462.0,7.65
Mercedes-Benz,GLS 350d 4MATIC,2017,Comprehensive,Diesel,7,80000,Second Owner,Automatic,2017,11.0,2987.0,2987.0,48.5
Hyundai,Grand i10 Asta,2015,Comprehensive,Petrol,5,105446,First Owner,Manual,2015,18.9,1197.0,1197.0,3.75
Maruti,Baleno 1.2 Delta,2015,Comprehensive,Petrol,5,54000,First Owner,Manual,2015,21.4,1197.0,1197.0,4.25
Kia,Seltos HTK Plus G,2020,Third Party insurance,Petrol,5,64690,First Owner,Manual,2020,16.8,1497.0,1497.0,10.0
Hyundai,Xcent 1.2 Kappa S,2017,Third Party insurance,Petrol,5,43687,First Owner,Manual,2016,19.1,1197.0,1197.0,5.2
Hyundai,Venue SX Plus Turbo DCT BSIV,2019,Third Party insurance,Petrol,5,51000,First Owner,Automatic,2019,18.15,998.0,998.0,9.75
Honda,City V MT,2012,Third Party insurance,Petrol,5,60758,Second Owner,Manual,2012,16.8,1497.0,1497.0,4.4
Hyundai,Venue SX Opt Diesel BSIV,2022,Third Party insurance,Diesel,5,42000,First Owner,Manual,2020,23.7,1396.0,1396.0,10.5
Maruti,Vitara Brezza ZDi Plus Dual Tone,2016,Third Party insurance,Diesel,5,42261,First Owner,Manual,2016,24.3,1248.0,1248.0,8.85
Hyundai,Elantra CRDi Base,2013,Third Party insurance,Diesel,5,120000,Third Owner,Manual,2013,22.7,1582.0,1582.0,3.99
Mahindra,TUV 300 T10,2019,Comprehensive,Diesel,7,69000,First Owner,Manual,2019,18.49,1493.0,1493.0,8.5
Volkswagen,Ameo 1.5 TDI Highline AT,2017,Comprehensive,Diesel,5,109000,First Owner,Automatic,2017,22.0,1498.0,1498.0,6.25
Hyundai,Elantra 1.6 SX Option AT,2018,Comprehensive,Diesel,5,90001,First Owner,Automatic,2018,18.23,1582.0,1582.0,10.75
Skoda,Kushaq 1.5 TSI Style DSG,2022,Third Party insurance,Petrol,5,13000,First Owner,Automatic,2022,18.89,1498.0,1498.0,16.5
Volkswagen,Polo Diesel Comfortline 1.2L,2011,Comprehensive,Diesel,5,60000,Second Owner,Manual,2011,22.07,1199.0,1199.0,2.4
Maruti,XL6 Alpha AT,2019,Comprehensive,Petrol,6,76000,First Owner,Automatic,2019,17.99,1462.0,1462.0,9.25
Maruti,Ertiga VDI,2014,Third Party insurance,Diesel,7,82000,First Owner,Manual,2014,20.77,1248.0,1248.0,6.5
Hyundai,Verna VTVT 1.6 SX,2019,Zero Dep,Petrol,5,123715,First Owner,Manual,2019,17.0,1591.0,1591.0,7.7
Tata,Tiago XT BSVI,2021,Third Party insurance,Petrol,5,36522,First Owner,Manual,2021,19.01,1199.0,1199.0,5.44
Volkswagen,Vento 1.6 Highline,2016,Third Party insurance,Petrol,5,63000,First Owner,Manual,2016,16.09,1598.0,1598.0,5.8
Volkswagen,Polo 1.0 MPI Comfortline,2018,Comprehensive,Petrol,5,23285,First Owner,Manual,2018,17.74,999.0,999.0,5.73
Hyundai,Grand i10 Nios Sportz,2021,Zero Dep,Petrol,5,14596,Second Owner,Manual,2021,20.7,1197.0,1197.0,6.41
Mercedes-Benz,C-Class 220 CDI AT,2013,Comprehensive,Diesel,5,48401,First Owner,Automatic,2013,14.84,2143.0,2143.0,12.0
Maruti,Baleno Zeta,2021,Zero Dep,Petrol,5,34377,First Owner,Manual,2021,21.01,1197.0,1197.0,7.57
Mercedes-Benz,M-Class ML 350 CDI,2011,Third Party insurance,Diesel,5,127000,Third Owner,Automatic,2011,11.74,2987.0,2987.0,11.0
Mercedes-Benz,E-Class Exclusive E 220 d BSIV,2018,Comprehensive,Diesel,5,70000,First Owner,Automatic,2018,16.1,1950.0,1950.0,39.95
BMW,X3 xDrive20d,2012,Third Party insurance,Diesel,5,90000,Second Owner,Automatic,2012,16.09,1995.0,1995.0,12.0
Ford,Ecosport 1.5 Diesel Titanium Plus,2017,Comprehensive,Diesel,5,65000,First Owner,Manual,2017,21.7,1498.0,1498.0,7.25
Jeep,Compass 2.0 Limited Plus,2020,Comprehensive,Diesel,5,80000,First Owner,Manual,2020,17.1,1956.0,1956.0,16.5
Honda,Mobilio S i-DTEC,2014,Comprehensive,Diesel,7,89000,First Owner,Manual,2014,24.2,1498.0,1498.0,5.5
Ford,Ecosport 1.5 Diesel Titanium Plus,2018,Comprehensive,Diesel,5,90000,First Owner,Manual,2018,21.7,1498.0,1498.0,7.75
Volkswagen,Vento 1.5 TDI Highline AT,2017,Comprehensive,Diesel,5,109000,First Owner,Automatic,2017,22.15,1498.0,1498.0,7.25
Mahindra,XUV300 W8 AMT Optional Diesel BSVI,2021,Zero Dep,Diesel,5,66302,First Owner,Automatic,2021,19.7,1497.0,1497.0,11.24
Maruti,Swift Dzire VXI,2012,Third Party insurance,Petrol,5,79247,First Owner,Manual,2012,22.41,1197.0,1197.0,4.1
Mini,Cooper Clubman Cooper S,2017,Comprehensive,Petrol,5,46000,First Owner,Automatic,2017,13.79,1998.0,1998.0,33.0
Maruti,Baleno 1.3 Alpha,2018,Third Party insurance,Diesel,5,82051,First Owner,Manual,2017,27.39,1248.0,1248.0,6.07
Maruti,Swift ZXI Plus,2021,Third Party insurance,Petrol,5,31655,First Owner,Manual,2021,22.38,1197.0,1197.0,7.75
Hyundai,Grand i10 Sportz,2017,Comprehensive,Petrol,5,16000,First Owner,Manual,2017,18.9,1197.0,1197.0,5.75
Honda,WR-V i-DTEC VX,2019,Zero Dep,Diesel,5,59965,First Owner,Manual,2019,25.5,1498.0,1498.0,7.61
Hyundai,i20 Asta,2009,Third Party insurance,Petrol,5,60000,Third Owner,Manual,2009,17.0,1197.0,1197.0,1.75
Maruti,Baleno 1.2 Delta,2017,Zero Dep,Petrol,5,103209,First Owner,Manual,2017,21.4,1197.0,1197.0,5.02
Maruti,Baleno 1.2 Delta,2017,Third Party insurance,Petrol,5,29497,First Owner,Manual,2017,21.4,1197.0,1197.0,5.59
Hyundai,Grand i10 Nios AMT Sportz,2020,Third Party insurance,Petrol,5,22849,First Owner,Automatic,2020,20.7,1197.0,1197.0,6.83
Hyundai,i20 1.4 Asta,2018,Third Party insurance,Diesel,5,66000,First Owner,Manual,2018,22.54,1396.0,1396.0,5.75
BMW,X1 xDrive 20d xLine,2019,Third Party insurance,Diesel,5,43000,First Owner,Automatic,2019,20.68,1995.0,1995.0,29.5
Maruti,Vitara Brezza VDi,2019,Comprehensive,Diesel,5,68000,First Owner,Manual,2019,24.3,1248.0,1248.0,7.5
Mercedes-Benz,GLC 220d 4MATIC Sport,2018,Comprehensive,Diesel,5,61000,First Owner,Automatic,2018,17.9,2143.0,2143.0,37.5
Maruti,Ciaz Delta,2018,Comprehensive,Petrol,5,35000,First Owner,Manual,2018,20.65,1462.0,1462.0,6.8
Maruti,Baleno Zeta CVT,2019,Comprehensive,Petrol,5,47000,First Owner,Automatic,2019,19.56,1197.0,1197.0,6.75
Maruti,Vitara Brezza ZDi Plus,2019,Third Party insurance,Diesel,5,54000,First Owner,Manual,2019,24.3,1248.0,1248.0,8.75
Honda,City i VTEC CVT SV,2016,Zero Dep,Petrol,5,72000,First Owner,Automatic,2015,18.0,1497.0,1497.0,6.15
Maruti,Baleno Zeta,2020,Comprehensive,Petrol,5,23428,First Owner,Manual,2020,21.01,1197.0,1197.0,7.14
Maruti,SX4 S Cross Zeta DDiS 200 SH,2017,Comprehensive,Diesel,5,53000,First Owner,Manual,2017,25.1,1248.0,1248.0,7.95
Honda,City V MT,2012,Comprehensive,Petrol,5,47925,First Owner,Manual,2012,16.8,1497.0,1497.0,4.53
Mahindra,Alturas G4 4X2 AT,2019,Comprehensive,Diesel,7,121281,First Owner,Automatic,2019,12.35,2157.0,2157.0,17.51
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,2019,Third Party insurance,Petrol,5,63238,First Owner,Manual,2019,18.9,1197.0,1197.0,5.15
Honda,City i VTEC CVT VX,2014,Third Party insurance,Petrol,5,51376,First Owner,Automatic,2014,18.0,1497.0,1497.0,6.0
Hyundai,Grand i10 1.2 Kappa Sportz Option AT,2018,Third Party insurance,Petrol,5,35898,Second Owner,Automatic,2018,18.9,1197.0,1197.0,5.43
BMW,5 Series 520d Sport Line,2018,Comprehensive,Diesel,5,40000,Second Owner,Automatic,2018,22.48,1995.0,1995.0,34.5
Maruti,Ignis 1.2 Delta BSIV,2018,Comprehensive,Petrol,5,19876,First Owner,Manual,2018,20.89,1197.0,1197.0,4.92
Maruti,Swift VDI,2012,Comprehensive,Diesel,5,68000,First Owner,Manual,2012,22.9,1248.0,1248.0,4.1
Honda,Amaze S Petrol,2016,Comprehensive,Petrol,5,40451,First Owner,Manual,2016,18.6,1199.0,1199.0,5.25
Honda,City i VTEC SV,2014,Third Party insurance,Petrol,5,60000,Second Owner,Manual,2014,17.4,1497.0,1497.0,5.55
Audi,A6 2.0 TDI Premium Plus,2013,Comprehensive,Diesel,5,69000,First Owner,Automatic,2013,17.68,1968.0,1968.0,14.5
Maruti,Baleno Zeta,2018,Comprehensive,Petrol,5,98000,First Owner,Manual,2018,21.01,1197.0,1197.0,6.0
Hyundai,Venue SX Plus Turbo DCT,2020,Zero Dep,Petrol,5,790000,First Owner,Automatic,2020,18.15,998.0,998.0,9.75
Honda,Jazz VX CVT,2019,Zero Dep,Petrol,5,55000,First Owner,Automatic,2019,18.2,1199.0,1199.0,7.5
Toyota,Etios GD,2015,Zero Dep,Diesel,5,104000,First Owner,Manual,2015,23.59,1364.0,1364.0,5.25
Maruti,Alto 800 VXI BSIV,2019,Zero Dep,Petrol,5,57647,First Owner,Manual,2019,24.7,796.0,796.0,3.52
Hyundai,Grand i10 1.2 Kappa Magna BSIV,2017,Third Party insurance,Petrol,5,76125,Second Owner,Manual,2017,18.9,1197.0,1197.0,4.4
Honda,Amaze S i-Vtech,2016,Comprehensive,Petrol,5,51499,First Owner,Manual,2016,18.0,1198.0,1198.0,4.96
Maruti,Celerio ZXI,2016,Zero Dep,Petrol,5,123186,First Owner,Manual,2016,25.24,998.0,998.0,3.68
