Brands,Models,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),price(in lakhs)
Mahindra,XUV500 W6 1.99 mHawk,2018,Comprehensive,Diesel,7,49000,First Owner,Manual,2018,16.0,1997.0,1997.0,9.25
Hyundai,Venue SX Turbo,2020,Comprehensive,Petrol,5,23588,First Owner,Manual,2020,18.27,998.0,998.0,9.2
Mercedes-Benz,CLA Urban Sport 200d,2018,Comprehensive,Diesel,5,50000,Second Owner,Automatic,2018,17.9,2143.0,2143.0,22.0
Toyota,Innova Crysta 2.8 GX AT BSIV,2017,Third Party insurance,Diesel,7,76000,First Owner,Automatic,2017,11.36,2755.0,2755.0,14.75
Maruti,Baleno Delta,2019,Comprehensive,Petrol,5,49341,First Owner,Manual,2019,21.01,1197.0,1197.0,5.76
Honda,Amaze VX i-Vtech,2013,Comprehensive,Petrol,5,56000,First Owner,Manual,2013,18.0,1198.0,1198.0,3.25
MG,Hector Plus 1.5 Turbo Sharp Pro CVT BSVI,2023,Comprehensive,Petrol,6,12000,First Owner,Automatic,2023,12.34,1451.0,1451.0,21.0
Honda,City i VTEC V,2014,Comprehensive,Petrol,5,51734,First Owner,Manual,2014,17.8,1497.0,1497.0,5.72
Maruti,Swift VXI,2018,Third Party insurance,Petrol,5,22000,First Owner,Manual,2018,22.0,1197.0,1197.0,5.75
Hyundai,Creta 1.6 SX Diesel,2018,Comprehensive,Diesel,5,45084,First Owner,Manual,2018,20.5,1582.0,1582.0,9.22
Mahindra,Scorpio S10 AT 4WD,2015,Third Party insurance,Diesel,7,20000,First Owner,Automatic,2015,15.4,2179.0,2179.0,11.0
Honda,Amaze S i-VTEC,2016,Comprehensive,Petrol,5,29000,First Owner,Manual,2016,17.8,1198.0,1198.0,4.8
Hyundai,Venue SX Turbo,2022,Comprehensive,Petrol,5,16763,First Owner,Manual,2021,18.27,998.0,998.0,9.69
Tata,Altroz XM plus BSVI,2022,Third Party insurance,Petrol,5,6000,First Owner,Manual,2022,19.33,1199.0,1199.0,6.95
Mahindra,XUV500 W4,2015,Comprehensive,Diesel,7,86000,First Owner,Manual,2015,15.1,2179.0,2179.0,5.45
Honda,Jazz VX CVT,2018,Comprehensive,Petrol,5,24000,First Owner,Automatic,2018,17.1,1199.0,1199.0,6.55
Hyundai,Venue S,2021,Comprehensive,Petrol,5,9000,First Owner,Manual,2021,20.36,1197.0,1197.0,7.75
Kia,Carens Prestige Plus Turbo DCT 2022-2023,2022,Comprehensive,Petrol,7,14900,First Owner,Automatic,2022,16.5,1353.0,1353.0,16.5
Hyundai,i20 N-Line N8 DCT BSVI,2022,Comprehensive,Petrol,5,17172,Second Owner,Automatic,2022,20.25,998.0,998.0,10.33
Renault,KWID RXT,2016,Third Party insurance,Petrol,5,38000,Second Owner,Manual,2016,25.17,799.0,799.0,1.85
Tata,Altroz XZ Plus BSVI,2023,Comprehensive,Petrol,5,11501,First Owner,Manual,2022,19.33,1199.0,1199.0,8.24
